,movie,year,movie_desc,director,cast,votes,ratings,genre,movie_time,desc_lenth,revenue_by_M
16,The Crazies,2010,After a strange and insecure plane crash an unusual toxic virus enters a quaint farming town. A young couple are quarantined but they fight for survival along with help from a couple of people.,Breck Eisner,"Radha Mitchell,Timothy Olyphant,Danielle Panabaker,Joe Anderson",126963,6.5,"Horror, Thriller",101,193,39.12
17,Grindhouse,2007,Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the '60s and '70s with two back-to-back cult films that include previews of coming attractions between them.,Robert Rodriguez,"Eli Roth,Quentin Tarantino,Edgar Wright,Rob Zombie,Kurt Russell,Rose McGowan,Danny Trejo,Zoë Bell",188954,7.5,"Action, Horror, Thriller",191,191,25.04
18,28 Days Later...,2002,Four weeks after a mysterious incurable virus spreads throughout the UK a handful of survivors try to find sanctuary.,Danny Boyle,"Cillian Murphy,Naomie Harris,Christopher Eccleston,Alex Palmer",432703,7.5,"Drama, Horror, Sci-Fi",113,117,45.06
19,28 Weeks Later,2007,Six months after the rage virus was inflicted on the population of Great Britain the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.,Juan Carlos Fresnadillo,"Jeremy Renner,Rose Byrne,Robert Carlyle,Harold Perrineau",287384,6.9,"Action, Adventure, Horror",100,223,28.64
20,Resident Evil: Extinction,2007,Survivors of the Raccoon City catastrophe travel across the Nevada desert hoping to make it to Alaska. Alice joins the caravan and their fight against the evil Umbrella Corp.,Russell Mulcahy,"Milla Jovovich,Ali Larter,Oded Fehr,Iain Glen",202286,6.2,"Action, Horror, Sci-Fi",94,174,50.65
21,Dawn of the Dead,2004,A nurse a policeman a young married couple a salesman and other survivors of a worldwide plague that is producing aggressive flesh-eating zombies take refuge in a mega Midwestern shopping mall.,Zack Snyder,"Sarah Polley,Ving Rhames,Mekhi Phifer,Jake Weber",266323,7.3,"Action, Horror",101,193,59.02
22,Resident Evil,2002,A special military unit fights a powerful out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.,Paul W.S. Anderson,"Milla Jovovich,Michelle Rodriguez,Ryan McCluskey,Oscar Pearce",282326,6.6,"Action, Horror, Sci-Fi",100,171,40.12
24,Army of Darkness,1992,A sardonic hardware store clerk is accidentally transported to 1300 A.D. where he must retrieve the Necronomicon and battle an army of the dead so he can return home.,Sam Raimi,"Bruce Campbell,Embeth Davidtz,Marcus Gilbert,Ian Abercrombie",190151,7.4,"Comedy, Horror",81,166,11.5
25,Død snø,2009,A ski vacation turns horrific for a group of medical students as they find themselves confronted by an unimaginable menace: Nazi zombies.,Tommy Wirkola,"Jeppe Beck Laursen,Charlotte Frogner,Jenny Skavlan,Geir Vegar Hoel",69090,6.3,"Comedy, Fantasy, Horror",92,137,0.04
26,Resident Evil: Apocalypse,2004,Alice wakes up in the Raccoon City hospital after the area has been overrun by zombies and must now make it out of the city before a nuclear bomb is dropped.,Alexander Witt,"Milla Jovovich,Sienna Guillory,Eric Mabius,Oded Fehr",206579,6.1,"Action, Horror, Sci-Fi",94,157,51.2
27,Doom,2005,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.,Andrzej Bartkowiak,"Karl Urban,Rosamund Pike,Dwayne Johnson,Deobia Oparei",117225,5.2,"Action, Horror, Sci-Fi",105,158,28.21
28,Braindead,1992,A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies at which time she comes back to life killing and eating dogs nurses friends and neighbors.,Peter Jackson,"Timothy Balme,Diana Peñalver,Elizabeth Moody,Ian Watkin",101385,7.5,"Comedy, Fantasy, Horror",104,170,0.24
29,Land of the Dead,2005,The living dead have taken over the world and the last humans live in a walled city to protect themselves as they come to grips with the situation.,George A. Romero,"John Leguizamo,Asia Argento,Simon Baker,Dennis Hopper",99462,6.2,"Horror, Sci-Fi, Thriller",93,147,20.7
